order_id,customer_id,order_date,status,product,category,quantity,unit_price,total_amount,payment_method,shipping_city,country
10001,C001,2026-08-01,Delivered,Wireless Mouse,Electronics,2,25.99,51.98,Credit Card,Nairobi,Kenya
10002,C002,2026-08-02,Shipped,Mechanical Keyboard,Electronics,1,89.99,89.99,PayPal,Mombasa,Kenya
10003,C003,2026-08-03,Pending,USB-C Cable,Accessories,3,12.50,37.50,Credit Card,Kisumu,Kenya
10004,C004,2026-08-04,Delivered,Office Chair,Furniture,1,199.99,199.99,Bank Transfer,Nairobi,Kenya
10005,C005,2026-08-05,Cancelled,Laptop Stand,Accessories,2,45.00,90.00,Credit Card,Nakuru,Kenya
10006,C001,2026-08-06,Delivered,Monitor 27 inch,Electronics,1,249.99,249.99,PayPal,Nairobi,Kenya
10007,C006,2026-08-07,Shipped,Desk Lamp,Home,2,35.75,71.50,Credit Card,Eldoret,Kenya
10008,C007,2026-08-08,Delivered,Notebook,Stationery,5,4.99,24.95,Cash,Nairobi,Kenya
10009,C008,2026-08-09,Pending,Webcam,Electronics,1,79.99,79.99,Credit Card,Thika,Kenya
10010,C009,2026-08-10,Delivered,Headphones,Electronics,2,59.99,119.98,PayPal,Mombasa,Kenya
10011,C010,2026-08-11,Shipped,Backpack,Accessories,1,65.00,65.00,Credit Card,Nairobi,Kenya
10012,C003,2026-08-12,Delivered,External SSD,Storage,1,129.99,129.99,Bank Transfer,Kisumu,Kenya
10013,C004,2026-08-13,Pending,Standing Desk,Furniture,1,349.99,349.99,Credit Card,Nairobi,Kenya
10014,C005,2026-08-14,Delivered,Power Bank,Electronics,2,39.99,79.98,Cash,Nakuru,Kenya
10015,C006,2026-08-15,Cancelled,Bluetooth Speaker,Electronics,1,74.99,74.99,PayPal,Eldoret,Kenya
